"NAME","cancer","sex","cases","exp","sir","lci","uci","area_pop"
"Skye-Lochalsh","Lip","Total",9,1.38,6.52173913043478,NA,NA,28324
"Banff-Buchan","Lip","Total",39,8.66,4.50346420323326,NA,NA,231337
"Caithness","Lip","Total",11,3.04,3.61842105263158,NA,NA,83190
"Berwickshire","Lip","Total",9,2.53,3.55731225296443,NA,NA,51710
"Ross-Cromarty","Lip","Total",15,4.26,3.52112676056338,NA,NA,129271
"Okney","Lip","Total",8,2.4,3.33333333333333,NA,NA,53199
"Moray","Lip","Total",26,8.11,3.2059186189889,NA,NA,245513
"Shetland","Lip","Total",7,2.3,3.04347826086957,NA,NA,62603
"Lochaber","Lip","Total",6,1.98,3.03030303030303,NA,NA,59183
"Gordon","Lip","Total",20,6.63,3.01659125188537,NA,NA,165554
"WesternIsles","Lip","Total",13,4.4,2.95454545454545,NA,NA,87815
"Sutherland","Lip","Total",5,1.79,2.79329608938547,NA,NA,37521
"Nairn","Lip","Total",3,1.08,2.77777777777778,NA,NA,29374
"Wigtown","Lip","Total",8,3.31,2.41691842900302,NA,NA,86444
"NEFife","Lip","Total",17,7.84,2.16836734693878,NA,NA,185472
"Kincardine","Lip","Total",9,4.55,1.97802197802198,NA,NA,111665
"Badenoch","Lip","Total",2,1.07,1.86915887850467,NA,NA,27075
"Ettrick","Lip","Total",7,4.18,1.67464114832536,NA,NA,94145
"Inverness","Lip","Total",9,5.53,1.62748643761302,NA,NA,162867
"Roxburgh","Lip","Total",7,4.44,1.57657657657658,NA,NA,102697
"Angus","Lip","Total",16,10.46,1.52963671128107,NA,NA,263205
"Aberdeen","Lip","Total",31,22.67,1.36744596382885,NA,NA,583327
"Argyll-Bute","Lip","Total",11,8.77,1.25427594070696,NA,NA,190816
"Clydesdale","Lip","Total",7,5.62,1.24555160142349,NA,NA,163818
"Kirkcaldy","Lip","Total",19,15.47,1.22818358112476,NA,NA,432132
"Dunfermline","Lip","Total",15,12.49,1.20096076861489,NA,NA,378946
"Nithsdale","Lip","Total",7,6.04,1.15894039735099,NA,NA,163703
"EastLothian","Lip","Total",10,8.96,1.11607142857143,NA,NA,231185
"Perth-Kinross","Lip","Total",16,14.37,1.1134307585247,NA,NA,346041
"WestLothian","Lip","Total",11,10.2,1.07843137254902,NA,NA,382702
"Cumnock-Doon","Lip","Total",5,4.75,1.05263157894737,NA,NA,139148
"Stewartry","Lip","Total",3,2.88,1.04166666666667,NA,NA,65448
"Midlothian","Lip","Total",7,7.03,0.995732574679943,NA,NA,249667
"Stirling","Lip","Total",8,8.53,0.937866354044549,NA,NA,233125
"Kyle-Carrick","Lip","Total",11,12.32,0.892857142857143,NA,NA,319316
"Inverclyde","Lip","Total",9,10.1,0.891089108910891,NA,NA,296238
"Cunninghame","Lip","Total",11,12.68,0.867507886435331,NA,NA,391513
"Monklands","Lip","Total",8,9.35,0.855614973262032,NA,NA,319072
"Dumbarton","Lip","Total",6,7.2,0.833333333333333,NA,NA,231227
"Clydebank","Lip","Total",4,5.27,0.759013282732448,NA,NA,156924
"Renfrew","Lip","Total",10,18.76,0.533049040511727,NA,NA,617413
"Falkirk","Lip","Total",8,15.78,0.506970849176172,NA,NA,426519
"Clackmannan","Lip","Total",2,4.32,0.462962962962963,NA,NA,141294
"Motherwell","Lip","Total",6,14.63,0.410116199589884,NA,NA,449231
"Edinburgh","Lip","Total",19,50.72,0.374605678233438,NA,NA,1287561
"Kilmarnock","Lip","Total",3,8.2,0.365853658536585,NA,NA,238170
"EastKilbride","Lip","Total",2,5.59,0.35778175313059,NA,NA,246849
"Hamilton","Lip","Total",3,9.34,0.321199143468951,NA,NA,312103
"Glasgow","Lip","Total",28,88.66,0.315813219039025,NA,NA,2316353
"Dundee","Lip","Total",6,19.62,0.305810397553517,NA,NA,547016
"Cumbernauld","Lip","Total",1,3.44,0.290697674418605,NA,NA,179194
"Bearsden","Lip","Total",1,3.62,0.276243093922652,NA,NA,110707
"Eastwood","Lip","Total",1,5.74,0.174216027874564,NA,NA,146112
"Strathkelvin","Lip","Total",1,7.03,0.142247510668563,NA,NA,246744
"Tweeddale","Lip","Total",0,4.16,0,NA,NA,38704
"Annandale","Lip","Total",0,1.76,0,NA,NA,103412
